INFO:root:Epoch 1, Batch Loss: 40.726470947265625
INFO:root:Epoch 2, Batch Loss: 35.088531494140625
INFO:root:Epoch 3, Batch Loss: 33.865692138671875
INFO:root:Epoch 4, Batch Loss: 32.341949462890625
INFO:root:Epoch 5, Batch Loss: 31.457794189453125
INFO:root:Epoch 6, Batch Loss: 30.40106201171875
INFO:root:Epoch 7, Batch Loss: 29.67962646484375
INFO:root:Epoch 8, Batch Loss: 28.8074951171875
INFO:root:Epoch 9, Batch Loss: 27.92291259765625
INFO:root:Epoch 10, Batch Loss: 26.748779296875
INFO:root:Epoch 11, Batch Loss: 24.7335205078125
INFO:root:Epoch 12, Batch Loss: 24.8214111328125
INFO:root:Epoch 13, Batch Loss: 24.9896240234375
INFO:root:Epoch 14, Batch Loss: 23.75140380859375
INFO:root:Epoch 15, Batch Loss: 24.025634765625
INFO:root:Epoch 16, Batch Loss: 22.9193115234375
INFO:root:Epoch 17, Batch Loss: 21.70843505859375
INFO:root:Epoch 18, Batch Loss: 21.42291259765625
INFO:root:Epoch 19, Batch Loss: 21.7125244140625
INFO:root:Epoch 20, Batch Loss: 21.62689208984375
INFO:root:Epoch 21, Batch Loss: 20.9481201171875
INFO:root:Epoch 22, Batch Loss: 20.68170166015625
INFO:root:Epoch 23, Batch Loss: 19.72216796875
INFO:root:Epoch 24, Batch Loss: 19.29327392578125
INFO:root:Epoch 25, Batch Loss: 18.6417236328125
INFO:root:Epoch 26, Batch Loss: 20.08837890625
INFO:root:Epoch 27, Batch Loss: 18.129150390625
INFO:root:Epoch 28, Batch Loss: 18.9993896484375
INFO:root:Epoch 29, Batch Loss: 17.66607666015625
INFO:root:Epoch 30, Batch Loss: 17.53594970703125
INFO:root:Epoch 31, Batch Loss: 17.70758056640625
INFO:root:Epoch 32, Batch Loss: 17.42242431640625
INFO:root:Epoch 33, Batch Loss: 17.63543701171875
INFO:root:Epoch 34, Batch Loss: 16.67755126953125
INFO:root:Epoch 35, Batch Loss: 17.51409912109375
INFO:root:Epoch 36, Batch Loss: 17.00677490234375
INFO:root:Epoch 37, Batch Loss: 16.20281982421875
INFO:root:Epoch 38, Batch Loss: 15.1717529296875
INFO:root:Epoch 39, Batch Loss: 14.38507080078125
INFO:root:Epoch 40, Batch Loss: 14.02691650390625
INFO:root:Epoch 41, Batch Loss: 13.36224365234375
INFO:root:Epoch 42, Batch Loss: 13.685791015625
INFO:root:Epoch 43, Batch Loss: 13.48333740234375
INFO:root:Epoch 44, Batch Loss: 12.518310546875
INFO:root:Epoch 45, Batch Loss: 12.7313232421875
INFO:root:Epoch 46, Batch Loss: 12.16766357421875
INFO:root:Epoch 47, Batch Loss: 11.56939697265625
INFO:root:Epoch 48, Batch Loss: 11.79266357421875
INFO:root:Epoch 49, Batch Loss: 11.932373046875
INFO:root:Epoch 50, Batch Loss: 11.80767822265625
INFO:root:Epoch 51, Batch Loss: 11.69476318359375
INFO:root:Epoch 52, Batch Loss: 10.98138427734375
INFO:root:Epoch 53, Batch Loss: 11.99383544921875
